Minimum metadata model 2026 Material,Minimum metadata model 2026 Event,MMM 2026 Expected Schemaorg Type,MMM 2026 Cardinality,MMM 2026 Values / CV,MMM 2026 Material Required,MMM 2026 Event Required,RDA Description,TeSS Description,Example 1 (Material),Example 2 (Event)
Project,Project,Project,MANY,"Organization: Name, URL (RAID PID if exists)",Required if exists,Required if exists,,PROPOSED: Research project under which the event and/or materials were produced. This field supports freetext name and RAID PID.,,
Funder,Funder,Organization,MANY,"Organization: Name, URL (ROR if exists)",Required if exists,Required if exists,,PROPOSED: Institution/Organisation or funding bodies that funded that event and/or materials. This field supports freetext name and ROR.,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Eligibility,Text,MANY,At least one of: Open to all; Host institutions; Expression of interest; By invitation,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Instructor(s),Person,MANY,"Person: Name, URL (ORCID if exists).",,Recommended,,,,
